cnpj,razao_social
13265089000160,DLF CONSTRUCAO E EMPREENDIMENTOS IMOBILIARIOS LTDA
13352659000159,PROFAKTUS SERVICOS DE APOIO ADMINISTRATIVO LTDA
13393172000114,"CAMPOS, PENIDO & XAVIER TECNOLOGIA EM MONITORAMENTO LTDA"
13414681000186,AGROPECUARIA CONFIANCA LTDA
13431839000126,BAHIASOL COMERCIO DE VEICULOS LTDA.
13431839000207,BAHIASOL COMERCIO DE VEICULOS LTDA.
13431839000398,BAHIASOL COMERCIO DE VEICULOS LTDA.
13452239000144,CONSELHO COMUNITARIO DE SEGURANCA PUBLICA DA AREA DE COORDENACAO INTEGRADA QUATRO
13543400000195,MOBITERRA INCORPORACAO E ENGENHARIA LTDA
13572040000150,2JC CONSULTORIA LTDA
13577457000105,SAO FELIPE PATRIMONIAL LTDA.
13577457000296,SAO FELIPE PATRIMONIAL LTDA.
13577457000377,SAO FELIPE PATRIMONIAL LTDA.
13620870000105,10K COMERCIO IMPORTACAO E EXPORTACAO LTDA
13644398000140,IGUATEMI PNEUS LTDA
13644398000221,IGUATEMI PNEUS LTDA
13644398000302,IGUATEMI PNEUS LTDA
13667685000176,TERRA VERDE AGROPECUARIA LTDA
13686811000130,RADIO RIO CORRENTE LTDA
13790045000159,MAPAM PRODUCOES ARTISTICAS LTDA
13806031000186,FELTES & CONSTANTE LTDA
13806031000267,FELTES & CONSTANTE LTDA
13821537000164,BPX GROUP INFORMATICA LTDA
13836713000131,RADIO CIDADE EUCLIDES DA CUNHA LTDA
13848737000100,LOCKSAO LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA
13850094000130,COLONIA DE PESCADORES E AQUICULTORES Z-15 DE VALENCA
13850094000210,COLONIA DE PESCADORES E AQUICULTORES Z-15 DE VALENCA
13868394000146,EXCELSIOR PARTICIPACOES S/A
13893821000146,ASSOCIACAO DESPORTIVA JEQUIE
13900434000190,HFM PARTICIPACOES E INVESTIMENTOS LTDA
14041451000181,CONSTANTE & FELTES LTDA
14104910000129,FOKUS REPRESENTACAO E DISTRIBUICAO DE ALIMENTOS LTDA
14159485000175,AREA URBANIZACAO E LOTEAMENTOS LTDA.
14201907000123,3X ADMINISTRACAO DE BENS PROPRIOS E PARTICIPACOES LTDA
14222499000196,EX COMERCIO DE EQUIPAMENTOS MEDICOS TRADING LTDA
14230561000191,CH3 PARTICIPACOES E EMPREENDIMENTOS S/A
14246005000103,FELTES & SILVA LTDA
14258512000167,RESIDENCIAL SANTA LUZIA S/A
14283988000158,FRENTE CONTRA A CRIACAO DO ESTADO DO TAPAJOS - PLEBISCITO 2011
14323725000125,FCP PRODUCOES E COMUNICACAO LTDA.
14381178000134,INCASA CONSTRUTORA LTDA
14407789000104,UNIAO ALVINEGRA SPE LTDA
14457098000115,A.M & M.M COMUNICACOES E PUBLICIDADE LTDA
14548079000102,POWER COMUNICACAO INTEGRADA EIRELI
14549315000105,FEDERACAO DOS PESCADORES E AQUICULTORES DO ESTADO DA BAHIA
14563446000139,G STAR PRODUCOES ARTISTICAS LTDA
14582849000125,CSADS - ADMINISTRADORA E CORRETORA DE SEGUROS LTDA
14635094000180,CASTRO E SANTOS ADMINISTRACAO EMPREENDIMENTOS CONSULTORIA E PARTICIPACOES LTDA
14639286000164,REDE BRASIL DE RADIO E TELEVISAO LEME LTDA
14745117000109,CAMDI - CENTRO AVANCADO DE MEDICINA E DIAGNOSTICO POR IMAGEM EIRELI
14745117000290,CAMDI - CENTRO AVANCADO DE MEDICINA E DIAGNOSTICO POR IMAGEM EIRELI
14751581000108,RIBEIRO ALVES PRODUTOS ALIMENTICIOS LTDA
14751611000186,RIBEIRO PRODUTOS ALIMENTICIOS DE REMANSO LTDA
14757458000102,CONSPLAN CONSTRUCOES E PARTICIPACOES LTDA
14758035000107,CENTRO DE EDUCACAO PROFISSIONAL TECNICO MARINGA LTDA
14828637000185,PERFIL RIO PARTICIPACOES LTDA.
14883329000152,BAR E RESTAURANTE DO ALEMAO DE BRASILIA LTDA
14936768000186,WCP SOLUCOES LOGISTICAS LTDA
15013788000148,"PEJUAR PARTICIPACOES, EMPREENDIMENTOS, INVESTIMENTOS E CONSULTORIA MEDICO-HOSPITALAR LTDA"
15048137000193,MUSEU DO PAO LTDA
15138934000161,BEJUSKA & HASSELMANN LTDA -
15175979000106,INSTITUTO BAHIANO DE REABILITACAO
15429203000175,REVISTA PREMIER EDITORACAO GRAFICA LTDA
15489927000104,K & F PARTICIPACOES E NEGOCIOS SOCIEDADE LTDA
15524626000174,TRESAGE AGRICOLA S/A
15546311000128,SOL8 PARTICIPACOES E SERVICOS LTDA.
15628458000167,"TDX CONSTRUCOES, COMERCIO E SERVICOS LTDA"
15685550000169,JNCN ADMINISTRADORA DE BENS LIMITADA
15833249000155,INSTITUTO COELHO NETO
15884794000170,CASSOL AGRO-PECUARIA LTDA
16306755000159,RIO ALEGRE RADIODIFUSAO LTDA
16455979000122,SL 150 PRODUCAO MUSICAL - EIRELI
16520926000148,IGREJA BATISTA SOLIDARIA
16554566000103,DN PAR PARTICIPACOES LTDA
16554591000189,FN PAR PARTICIPACOES LTDA
16584534000142,PERFIL AGROPECUARIA E FLORESTAL LTDA
16584534000304,PERFIL AGROPECUARIA E FLORESTAL LTDA
16593734000161,CAVIUNA EMPREENDIMENTOS E PARTICIPACOES LTDA
16733548000180,JARAGUA EMPREENDIMENTOS IMOBILIARIOS LTDA
16739253000111,"MOLON, BICHARA & VIEIRA ADVOGADOS ASSOCIADOS"
16813994000103,IMOBILIARIA GIS LTDA
16827347000142,RADIO PRINCESA DA MATA LTDA.
16857917000147,SPEED PRODUTORA LTDA
16875105000124,SOCIEDADE EDUCACIONAL SION LTDA
16934552000107,A2 PARTICIPACOES LTDA
16991667000133,LAFAYETTE DE ANDRADA SOCIEDADE DE ADVOGADOS
17020403000103,SMP EMPREENDIMENTOS E PARTICIPACOES S/A
17024017000181,DN PARTICIPACOES EIRELI
17043891000166,VITRINE EMPREENDIMENTOS IMOBILIARIOS LTDA
17047193000139,L.A. CONSULTORIA E MARKETING LTDA
17066205000172,VASCONCELOS COMUNICACOES LTDA
17123688000108,GREMIO MANHUMIRIENSE DE DESPORTOS
17151350000151,ALIANCA IMOVEIS RURAIS E AGRONEGOCIOS LTDA
17151410000136,ABREU E SILVESTRE HOTELARIA LTDA
17151486000161,ALIANCA IMOVEIS URBANOS E EMPREENDIMENTOS IMOBILIARIOS LTDA
17159559000161,COMPANHIA SIDERURGICA PITANGUI
17159559000242,COMPANHIA SIDERURGICA PITANGUI
17159559000323,COMPANHIA SIDERURGICA PITANGUI
17159559000404,COMPANHIA SIDERURGICA PITANGUI
17159559000595,COMPANHIA SIDERURGICA PITANGUI
17159559000676,COMPANHIA SIDERURGICA PITANGUI
17159559000757,COMPANHIA SIDERURGICA PITANGUI
17159559000838,COMPANHIA SIDERURGICA PITANGUI
17186484000108,OMS EMPREENDIMENTOS E PARTICIPACOES LTDA
17230537000140,SAMAMBAIA EMPREENDIMENTOS IMOBILIARIOS LTDA
17231969000176,MILFORD COMERCIAL EIRELI
17292363000140,SPEED MARKETING E COMUNICACOES LTDA
17331820000169,MARCOS PEREIRA E OLIVEIRA SOCIEDADE DE ADVOGADOS
17351953000105,INSTITUTO POLITIZAR
17436355000120,COLEGIO DE APLICACAO DA UNIFAN REMANSO LTDA
17454190000110,AGROPECUARIA LAEL VARELLA LTDA
17454190000209,AGROPECUARIA LAEL VARELLA LTDA
17454190000381,AGROPECUARIA LAEL VARELLA LTDA
17454190000462,AGROPECUARIA LAEL VARELLA LTDA
17454190000543,AGROPECUARIA LAEL VARELLA LTDA
17458742000168,MM LOCACAO DE MAQUINAS E EQUIPAMENTOS LTDA
17490415000193,APARTHOTEL TOMAZINI LTDA
17511734000138,AMIS ASSOCIACAO MINEIRA DE SUPERMERCADOS
17511734000219,AMIS ASSOCIACAO MINEIRA DE SUPERMERCADOS
17518514000136,COLEGIO DE APLICACAO ALFREDO NASSER LTDA
17547272000109,MILENIUM - SOCIEDADE DE PARTICIPACAO E ADMINISTRACAO LTDA S/S
17560705000166,W.R. EMPREENDIMENTOS IMOBILIARIOS LTDA.
17650583000107,ABATEDORA AVICOLA ALVES LTDA
17697292000166,VGR SOLUCOES AMBIENTAIS LTDA
17764014000184,MRA EMPREENDIMENTOS E PARTICIPACOES LTDA
17812766000173,SCARPINI & CARVALHO LTDA
17873104000103,ARF COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHOS LTDA
17907000000172,CARBONDOOR AMBIENTAL LTDA
17929111000180,BAZAR PROFESSOR ALCIDES RIBEIRO LTDA
17932205000108,VISAO DE COMUNICACAO LTDA
17962547000170,LAGO DA SERRA LOCACAO PARA EVENTOS LTDA.
18158112000130,CNLF EMPREENDIMENTOS  IMOBILIARIOS LTDA
18341050000106,ALIANCA PONTE ALTA IMOVEIS RURAIS E AGRONEGOCIOS LTDA
18379155000146,MLH MED. SERVICOS MEDICOS HOSPITALARES LTDA
18474319000114,CERAMICA BARRO FORTE INDUSTRIA E COMERCIO LTDA
18512253000100,RAZI PARTICIPACOES SOCIETARIAS E INTERMEDIACAO DE NEGOCIOS LTDA
18684293000139,GRUPO EDUCACIONAL MATA NORTE LTDA
18695654000142,BAHIA IRON CONSULTORIA EM MINERACAO LTDA
18710176000100,INSTITUTO BRASILEIRO DE SEGURANCA PUBLICA E PESQUISA - IBRASPPE
18716249000163,MG IRON CONSULTORIA EM MINERACAO LTDA
18740592000143,COSTA ESMERALDA EMPREENDIMENTOS E PARTICIPACOES LTDA
18862673000116,S4 SERVICOS DE MICROFILMAGENS E PROCESSAMENTO DE DADOS LTDA
18949357000186,CMRV ALIMENTOS LTDA
18986213000108,LOUVARTE PRODUCOES ARTISTICAS E CULTURAIS LTDA
19011816000149,LAEL VARELLA ADMINISTRACAO E ASSESSORIA LTDA
19054433000158,CORRESPONDENTE BANCARIO MAIS EM CONTA S/A
19072474000177,SEALSO PARTICIPACOES SIMPLES LTDA
19106427000105,CENTRO EDUCACIONAL COSTA E GONCALVES LTDA
19202575000115,CASA LOTERICA CACERES LTDA
19239908000180,TEMM PARTICIPACOES LTDA
19242458000185,ASSOCIACAO DOS MUNICIPIOS IMPACTADOS POR USINAS HIDRELETRICAS DO NORTE MATO-GROSSENSE - AMIU
19324835000125,JOLUALSO ADMINISTRACAO DE BENS LTDA
19450496000123,MIRANTE DA LAPA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA
19468095000109,HODAR DISTRIBUIDORA DE PNEUS E BATERIAS LTDA
19527620000101,F.R.PUBLICIDADE E ATIVIDADES ARTISTICAS E DE ESPETACULOS LTDA.
19585518000162,GW CORRETORA DE IMOVEIS LTDA
19668397000112,LUMENS CONSTRUCOES E ORGANIZACAO DE EVENTOS EIRELI
19924680000168,SIQUEIRA RAMALHO CONSULTORIA EMPRESARIAL LTDA
19944736000146,ATHOS COMERCIO E PRESTACAO DE SERVICOS LTDA
19995146000142,"EXPRESS ONE CONSULTORIA, ASSESSORIA E SEGURANCA EMPRESARIAL - EIRELI"
20008829000148,AGROINDUSTRIAL ACAI DA PRATA LTDA
20034355000109,UNIAO DAS CAMARAS E VEREADORES DO ESTADO DO AMAPA - UVEAP
20116391000111,EMPREENDIMENTO LUCILENE II
20183596000110,COM PARA RECONST DA UNIAO OPERARIA BENEFICENTE DE GOVAL
20201491000146,CABANAS PARTICIPACOES E INVESTIMENTOS LTDA
20237155000153,"SALES, COMAR & PESSOPANE FILHO LTDA"
20340017000103,WS INVESTIMENTOS E SERVICOS ADMINISTRATIVOS LTDA
20435853000163,RC1 INCORPORACOES LTDA
20435923000183,RC3 INCORPORACOES LTDA
20628285000117,COVEPE COMERCIO DE VEICULOS PESADOS LTDA
20628285000206,COVEPE COMERCIO DE VEICULOS PESADOS LTDA
20628285000389,COVEPE COMERCIO DE VEICULOS PESADOS LTDA
20708159000172,AGENCIA DE VIAGENS E TURISMO WONDERS LTDA
20708159000253,AGENCIA DE VIAGENS E TURISMO WONDERS LTDA
20753324000108,MS2 CONSULTORIA ESTRATEGICA E DESENVOLVIMENTO LTDA
21206376000127,CARTAFINA E VENDRAMINI LTDA
21243805000136,2 PAZ 2 PRODUCOES ARTISTICAS LTDA
21512669000132,SGON PARTICIPACOES E EMPREENDIMENTOS S.A.
21656344000123,C L M W EMPREENDIMENTOS LTDA
21670909000127,ECO COMERCIO E CONVENIENCIA EIRELI
21782400000176,JAP PARTICIPACOES E CONSULTORIA LTDA.
21812563000154,L JU COMERCIO DE ROUPAS E ACESSORIOS EIRELI
21853928000199,MEDICINA DIAGNOSTICA POR IMAGEM EIRELI
21966526000109,POLTRONIERI & OLIVEIRA LTDA
22032038000189,SPE RESIDENCIAL MINACU LTDA
22057789000150,GTRM INDUSTRIA E COMERCIO DE ALIMENTOS LTDA
22065344000111,AGROPECUARIA CACHOEIRAO LTDA
22065344000200,AGROPECUARIA CACHOEIRAO LTDA
22127393000131,IGREJA BATISTA HEBROM
22128336000177,EH MAIA BISMARCK CONSULTORIA EIRELI
22279055000115,"OLIVEIRA & CARVALHO ARTIGOS DE CAMA, MESA E BANHO LTDA"
22388008000100,VIA EMPREENDIMENTOS LTDA
22506074000137,ALBUQUERQUE AGROPECUÁRIA ESPÍRITO SANTO LTDA
22619217000117,RIO RANCHO AGROPECUARIA SA
22619217000206,RIO RANCHO AGROPECUARIA SA
22619217000389,RIO RANCHO AGROPECUARIA SA
22619217000460,RIO RANCHO AGROPECUARIA SA
22619217000540,RIO RANCHO AGROPECUARIA SA
22619217000621,RIO RANCHO AGROPECUARIA SA
22619217000702,RIO RANCHO AGROPECUARIA SA
22619217000893,RIO RANCHO AGROPECUARIA SA
22619217000974,RIO RANCHO AGROPECUARIA SA
22619217001008,RIO RANCHO AGROPECUARIA SA
22619217001199,RIO RANCHO AGROPECUARIA SA
22619217001270,RIO RANCHO AGROPECUARIA SA
22619217001350,RIO RANCHO AGROPECUARIA SA
22619217001431,RIO RANCHO AGROPECUARIA SA
22619217001512,RIO RANCHO AGROPECUARIA SA
22619217001601,RIO RANCHO AGROPECUARIA SA
22619217001784,RIO RANCHO AGROPECUARIA SA
22619217001865,RIO RANCHO AGROPECUARIA SA
22619217001946,RIO RANCHO AGROPECUARIA SA
22619217002080,RIO RANCHO AGROPECUARIA SA
22619217002160,RIO RANCHO AGROPECUARIA SA
22619217002241,RIO RANCHO AGROPECUARIA SA
22619217002322,RIO RANCHO AGROPECUARIA SA
22619217002403,RIO RANCHO AGROPECUARIA SA
22619217002594,RIO RANCHO AGROPECUARIA SA
22619217002675,RIO RANCHO AGROPECUARIA SA
22619217002756,RIO RANCHO AGROPECUARIA SA
22619217002837,RIO RANCHO AGROPECUARIA SA
22619217002918,RIO RANCHO AGROPECUARIA SA
22619217003051,RIO RANCHO AGROPECUARIA SA
22619217003132,RIO RANCHO AGROPECUARIA SA
22619217003213,RIO RANCHO AGROPECUARIA SA
22619217003302,RIO RANCHO AGROPECUARIA SA
22619217003485,RIO RANCHO AGROPECUARIA SA
22619217003566,RIO RANCHO AGROPECUARIA SA
22619217003647,RIO RANCHO AGROPECUARIA SA
22619217003728,RIO RANCHO AGROPECUARIA SA
22619217003809,RIO RANCHO AGROPECUARIA SA
22619217003990,RIO RANCHO AGROPECUARIA SA
22619217004023,RIO RANCHO AGROPECUARIA SA
22619217004104,RIO RANCHO AGROPECUARIA SA
22619217004295,RIO RANCHO AGROPECUARIA SA
22619217004376,RIO RANCHO AGROPECUARIA SA
22619217004457,RIO RANCHO AGROPECUARIA SA
22619217004538,RIO RANCHO AGROPECUARIA SA
22619217004619,RIO RANCHO AGROPECUARIA SA
22619217004708,RIO RANCHO AGROPECUARIA SA
22619217004880,RIO RANCHO AGROPECUARIA SA
22619217004961,RIO RANCHO AGROPECUARIA SA
22619217005003,RIO RANCHO AGROPECUARIA SA
22619217005186,RIO RANCHO AGROPECUARIA SA
22619217005267,RIO RANCHO AGROPECUARIA SA
22619217005348,RIO RANCHO AGROPECUARIA SA
22619217005429,RIO RANCHO AGROPECUARIA SA
22619217005500,RIO RANCHO AGROPECUARIA SA
22627598000186,VLP MARKETING ESPORTIVO E EVENTOS LTDA
22652903000190,NC PARTICIPACOES E CONSULTORIA S/A
22733912000105,MONTINK LTDA
22790471000183,J B PROMOCOES E PRODUCOES LTDA
22844588000100,GLL PARTICIPACOES EIRELI
22897119000141,EMGEP  -  EMPRESA DE GESTÃO E PARTICIPAÇÕES LTDA
22912832000117,NATYVO DISTRIBUICAO E COMERCIO DE COSMETICOS E HIGIENE PESSOAL LTDA
22937196000188,SPE RESIDENCIAL ROCHA & MERCEZ LTDA
22968418000120,POTENCIALIZA OTIMIZACAO DE METODOS DE ESTUDOS PARA CONCURSOS LTDA
23001893000195,W.RIBEIRO & SILVA SOCIEDADE DE ADVOGADOS
23026819000123,MADRI CONSTRUCOES E INCORPORACOES LTDA
23044745000158,SISTEMA CEADEB DE COMUNICACAO LTDA
23162125000113,BARRA AGROPECUARIA LTDA
23205958000114,NC-PARTICIPACOES E ADMINISTRACAO LTDA
23239336000107,FUNDACAO EDUCATIVA DO AGRESTE MERIDIONAL - FEAM
23295981000147,ASSOCIACAO ESPORTIVA DO DRAGAO
23304956000182,SILVA GOMES CONSULTORIA E IMOBILIARIA LTDA
23347318000149,HORTO OFICINA DA TERRA COMERCIO DE PLANTAS LTDA
23375201000179,FABIO TRAD ADVOGADOS ASSOCIADOS
23412791000162,JOTA COMUNICACAO LTDA
23563558000180,G V CONSULTORIA LTDA
23683484000116,ESTACIONAMENTOS E ESTETICA AUTOMOTIVA SAO PEDRO LTDA
23716415000161,EMPREENDIMENTO PORTO SEGURO SPE LTDA
23717861000190,HOSPITAL MUNICIPAL DONA NATERCIA JUNIOR RIOS
23719939000106,HAMU & HAMU SERVICOS MEDICOS LTDA
23735991000156,FORUM NACIONAL DOS SECRETARIOS ESTADUAIS DE MINAS E ENERGIA - FME
23961347000104,INSTITUTO RESGATA BRASIL
23966128000100,ATLANTIC PARTICIPACOES LTDA
24049334000118,ASSOCIACAO CATARINENSE DE RESERVISTAS - NUCLEO LAGES SC
24081308000177,INSTITUTO PARA O FORTALECIMENTO DA AGROPECUARIA DE GOIAS - IFAG
24088659000100,RC5 INCORPORACOES EIRELI
24098879000114,CENTRO NACIONAL DE DESENVOLVIMENTO TECNOLOGICO DE TITULOS E DOCUMENTOS
24133803000182,SOCIEDADE COMUNITARIA DE HABITACAO POPULAR N.GUARARAPES
24207760000132,BIKANER EMPREENDIMENTOS E PARTICIPACOES S.A.
24241151000108,HOSPITAL CASA HOLDING PARTICIPACOES EMPREENDIMENTOS E INVESTIMENTOS LTDA
24282972000184,RIVERPETRO COM E REP DE DERIVADOS DE PETROLEO LTDA
24306125000102,ECOCLEAR LIMPEZA E ESTETICA AUTOMOTIVA LTDA.
24306387000177,ORDEM DOS SERVIDORES DA POLICIA CIVIL DO ESTADO DE MINAS GERAIS
24362772000131,D4 ADMINISTRACAO E PARTICIPACOES LTDA
24364369000141,HB BERGAMIN PARTICIPACOES LTDA
24394640000191,CMD LOCACAO AEREA E TURISMO LTDA
24397318000116,ASSOCIACAO MOVIMENTO MAPA EDUCACAO
24560443000103,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000286,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000367,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000448,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000529,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000600,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000790,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000871,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443000952,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001096,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001177,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001258,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001339,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001410,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001509,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001681,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001762,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001843,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443001924,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24560443002068,GERENCIAL BRASITEC SERVICOS TECNICOS SA
24575468000172,RECRUTA SIMPLES SOLUCOES DIGITAIS LTDA
24743865000106,M. WANDSCHEER MINERACAO LTDA
24829688000185,MINERADORA BRITAR LTDA
24869751000107,ROMA HOTEIS E REALIZACOES LTDA - SCP1
24869782000168,ROMA HOTEIS E REALIZACOES LTDA - SCP
24877759000115,ROMA HOTEIS E REALIZACOES LTDA - SCP6
24877769000150,ROMA HOTEIS E REALIZACOES LTDA - SCP7
24877814000177,ROMA HOTEIS E REALIZACOES LTDA - SCP8
24877820000124,ROMA HOTEIS E REALIZACOES LTDA - SCP9
24877838000126,ROMA HOTEIS E REALIZACOES LTDA - SCP10
24877855000163,ROMA HOTEIS E REALIZACOES LTDA - SCP2
24877860000176,ROMA HOTEIS E REALIZACOES LTDA - SCP3
24877871000156,ROMA HOTEIS E REALIZACOES LTDA - SCP5
24877885000170,ROMA HOTEIS E REALIZACOES LTDA - SCP4
24894417000103,CLINICA MEDICA MATERNAL HSL LTDA
24894417000294,CLINICA MEDICA MATERNAL HSL LTDA
24894417000375,CLINICA MEDICA MATERNAL HSL LTDA
24909957000113,ANFS - CURSO PREPARATORIO PARA CONCURSOS LTDA
24955212000190,E. F. J. SALES & CIA LTDA
25055328000136,PERFUARTE PERFURACOES ARTESIANAS LTDA
25104126000137,LIGA DOS AMIGOS DO JARDIM ESMERALDA
25208232000160,ASSOCIACAO DOS ESTUDANTES MANGUENSES
25209297000120,SAO JOSE ESPORTE CLUBE
25219913000124,VGON EMPREENDIMENTOS E PARTICIPACOES LTDA.
25796491000150,PATRIMONIO NEGOCIOS IMOBILIARIOS LTDA
26115301000154,HANGAR EMPREENDIMENTOS LTDA.
26161720000122,FRANCASERV LTDA
26329038000104,LAGO NEGRO AGROPECUARIA LTDA
26501055000179,INSTITUTO DE MEDIACAO LUIZ FLAVIO GOMES LTDA
26571630000100,ENTREPOSTO COMERCIAL DE AMARALINA LTDA
26655885000150,PACHECO & RODRIGUES SOCIEDADE DE ADVOGADOS
26703034000136,INSTITUTO BRASILEIRO DE ESTUDOS DE DEFESA E INOVACAO - IBEDI
26775211000190,FARAH CONSULTORIA EMPRESARIAL E PUBLICA EIRELI
26789019000152,RAMOS & RAMOS ADVOGADOS
26805784000119,TRES GURIS AGROPECUARIA LTDA
26971070000180,MCMT TREINAMENTO E CONSULTORIA LTDA
27115116000122,M.A. COMUNICACAO E ARTES CENICAS LTDA
27130218000117,W & W QUEIROZ NEGOCIOS IMOBILIARIOS LTDA
27137307000195,EURO CONTABILIDADE EIRELI
27227982000105,VENAC VEICULOS NACIONAIS LIMITADA
27227982000296,VENAC VEICULOS NACIONAIS LIMITADA
27227982000377,VENAC VEICULOS NACIONAIS LIMITADA
27272053000118,VILAR EMPREENDIMENTOS IMOBILIARIOS LTDA
27336750000195,RJ EMPREENDIMENTOS IMOBILIARIOS LTDA
27406723000141,ANGELIM PARTICIPACOES LTDA.
27516314000106,BOLSONARO DIGITAL LTDA
27642650000197,FONOR  FORTE NORDESTE DISTRIBUIDORA DE BEBIDAS LTDA
27767628000173,RH EMPREENDIMENTOS IMOBILIARIOS LTDA
27859833000169,LG GESTAO E LIDERANCA EIRELI
27871016000126,BCCA PARTICIPACOES LTDA
27927208000107,HOSPITAL CASA PRONTOCOR ADMINISTRACAO E GESTAO HOSPITALAR LTDA
27957252000160,FALCAO E FIGUEIREDO SOCIEDADE DE ADVOGADOS
28001798000105,G9 PARTICIPACOES E EMPREENDIMENTOS IMOBILIARIOS LTDA
28074394000141,SAO SIMAO ADMINISTRADORA DE BENS LTDA
28255432000162,VALE DO PARAIBA CARCINICULTURA  EIRELI
28264463000180,I M PARTICIPACOES E ADMINISTRACAO LTDA
28303669000171,ICE IMOVEIS E PARTICIPACOES LTDA
28310136000117,C.C. ANDRADE EIRELI
28322602000184,HOSPITAL CASA EGAS MONIZ HOSPITAL GERAL ADMINISTRACAO E GESTAO HOSPITALAR LTDA
28343469000142,ECO POSTO 3L LTDA
28556443000182,INSTITUTO VLP
28599636000110,ASSOCIACAO MOVIMENTO BRASIL LIVRE
28675056000165,3 D DIAGNOSE LTDA
28675056000246,3 D DIAGNOSE LTDA
28675056000327,3 D DIAGNOSE LTDA
28707966000182,PROTEUS EMPREENDIMENTOS S/C LTDA
28818354000167,ASSOCIACAO BRASIL NASRUAS
28862735000143,G & M EMPREENDIMENTOS IMOBILIARIOS LTDA
28898730000170,GZ ADMINISTRACAO DE BENS E PARTICIPACOES OLIMPIA LTDA
29232896000116,EDUARDO BISMARCK SOCIEDADE INDIVIDUAL DE ADVOCACIA
29260655000180,LJO PARTICIPACOES LTDA
29269637000160,SILVEIRA & LIRA LTDA
29300502000110,CATARINA PARTICIPACOES LTDA.
29577214000107,BR CONGELADO IMPORTACAO E EXPORTACAO LTDA
29601759000101,PROFESSOR ALCIDES RIBEIRO CONSULTORIA EMPRESARIAL LTDA
29720576000105,ASSOCIACAO EDUCACIONAL APARECIDENSE
29829027000173,VILLE FLORENCA EMPREENDIMENTOS IMOBILIARIOS LTDA.
30026622000150,VG COMERCIO E DISTRIBUICAO DE RECICLAVEIS LTDA
30387452000139,TABATA AMARAL - TREINAMENTO EM DESENVOLVIMENTO PESSOAL E GERENCIAL LTDA.
30559406000170,CONFIDENCIAL CORRETORA DE CAMBIO EIRELI
30566911000141,CAMPO BRASIL REPRESENTACAO E CONSULTORIA AMBIENTAL E AGROPECUARIA EIRELI
30942058000115,GME RESTAURANTES LTDA
31004046000102,MANIA DO PEIXE PISCICULTURA LTDA
31024925000104,ARGUMENTO CONSULTORIA POLITICA E COMUNICACAO LTDA
31096506000170,RADIO RITMO LTDA
31247760000121,SEGURANCA FROTA COMANDO III LTDA
31275084000108,MILA TRANSPORTES LTDA
31275084000280,MILA TRANSPORTES LTDA
31275084000361,MILA TRANSPORTES LTDA
31275084000442,MILA TRANSPORTES LTDA
31275084000523,MILA TRANSPORTES LTDA
31275084000604,MILA TRANSPORTES LTDA
31275084000795,MILA TRANSPORTES LTDA
31275084000876,MILA TRANSPORTES LTDA
31275084000957,MILA TRANSPORTES LTDA
31275084001090,MILA TRANSPORTES LTDA
31275084001171,MILA TRANSPORTES LTDA
31275084001252,MILA TRANSPORTES LTDA
31275084001333,MILA TRANSPORTES LTDA
31275084001414,MILA TRANSPORTES LTDA
31275084001503,MILA TRANSPORTES LTDA
31275084001686,MILA TRANSPORTES LTDA
31275084001767,MILA TRANSPORTES LTDA
31344574000100,ADISRECSHR COMERCIO DE MATERIAIS ESPORTIVOS LTDA
31449358000120,MK PUBLICITA PRODUCOES PUBLICIDADE E PROPAGANDA LTDA
31454599000167,FGR - PARTICIPACOES LTDA
31499929000130,BRAIP INTERMEDIACOES & NEGOCIOS LTDA
31763790000190,VENAC PNEUS LIMITADA
31763790000271,VENAC PNEUS LIMITADA
31988093000138,IRMAOS CD PARTICIPACOES LTDA
32180170000191,EDITORA E PRODUTORA CALVARIO LTDA
32295355000141,PIAZZA DIROMA HOTEIS LTDA
32409524000127,RECANTO NOBRE EMPREENDIMENTOS IMOBILIARIOS SPE LTDA
32411816000102,RD POSTO DE COMBUSTIVEL LTDA
32603754000122,FC CONSULTORIA E PARTICIPACOES EIRELI
